Player,Total,Rounds,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,HolesCounted,Place,Ace Points,Albatross Points,Eagle Points,Birdie Points,Bogey+ Points,Place Points,Total Points
Parker Austin,+5,3,0,0,0,12,26,16,54,T66,0,0,0,12,-16,0,-4
Silas Schultz,+5,3,0,0,0,10,32,12,54,T66,0,0,0,10,-12,0,-2
Paul Ulibarri,+6,3,0,0,0,10,31,13,54,71,0,0,0,10,-13,0,-3
Logan Plake,+7,3,0,0,0,15,21,18,54,72,0,0,0,15,-18,0,-3
Chris Clemons,+8,3,0,0,0,14,23,17,54,T73,0,0,0,14,-17,0,-3
Eric Oakley,+8,3,0,0,0,13,24,17,54,T73,0,0,0,13,-17,0,-4
J. J. Campbell,+8,3,0,0,0,11,30,13,54,T73,0,0,0,11,-13,0,-2
Alden Harris,+9,3,0,0,0,10,31,13,54,T76,0,0,0,10,-13,0,-3
Trevon Crowe,+9,3,0,0,0,7,32,15,54,T76,0,0,0,7,-15,0,-8
Jacob Blair,+10,3,0,0,0,13,23,18,54,78,0,0,0,13,-18,0,-5
Randon Latta,+11,3,0,0,0,12,25,17,54,79,0,0,0,12,-17,0,-5
Elijah Rider Brandt,+12,3,0,0,0,10,31,13,54,T80,0,0,0,10,-13,0,-3
Sawyer Barlow,+12,3,0,0,0,8,30,16,54,T80,0,0,0,8,-16,0,-8
James Conrad,+13,3,0,0,0,11,25,18,54,T82,0,0,0,11,-18,0,-7
Justin Rosak,+13,3,0,0,0,9,29,16,54,T82,0,0,0,9,-16,0,-7
Cole Redalen,+14,3,0,0,0,13,23,18,54,T84,0,0,0,13,-18,0,-5
Matthew Alexander,+14,3,0,0,0,7,30,17,54,T84,0,0,0,7,-17,0,-10
Bo Mc Laughlin,+15,3,0,0,0,10,24,20,54,86,0,0,0,10,-20,0,-10
Kevin Jones,+19,3,0,0,0,7,28,19,54,T87,0,0,0,7,-19,0,-12
Zach Melton,+19,3,0,0,0,3,35,16,54,T87,0,0,0,3,-16,0,-13
Noah Feil,+22,3,0,0,1,8,24,21,54,89,0,0,5,8,-21,0,-8
Corbin Milchesky,+25,3,0,0,0,7,25,22,54,90,0,0,0,7,-22,0,-15
Jared Stoll,+28,3,0,0,0,11,22,21,54,T91,0,0,0,11,-21,0,-10
Joey Temali,+28,3,0,0,0,5,24,25,54,T91,0,0,0,5,-25,0,-20
Lucas Carmichael,+32,3,0,0,0,6,26,22,54,93,0,0,0,6,-22,0,-16
Wynn Coggin,+34,3,0,0,0,2,25,27,54,94,0,0,0,2,-27,0,-25
Albert Tamm,DNF,1,0,0,0,5,7,6,18,DNF,0,0,0,5,-6,0,-1
Cole Hauser,DNF,1,0,0,0,0,8,10,18,DNF,0,0,0,0,-10,0,-10
