site_event_id,event_id,Year,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Jake Hebenheimer,43762,1020,213,6,T30,0,0,0,0,0,0,0,7,34,13,-6.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,James Conrad,17295,1013,213,6,T30,0,0,0,0,0,0,0,14,26,14,0.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Anthony Barela,44382,1042,214,7,T33,0,0,0,0,0,0,0,11,31,12,-1.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Chandler Kramer,139228,1026,214,7,T33,0,0,0,0,0,0,0,8,34,12,-4.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Evan Smith,101574,1037,214,7,T33,0,0,0,0,0,0,0,8,33,13,-5.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Garrett Gurthie,13864,1018,214,7,T33,0,0,0,0,0,0,0,7,35,12,-5.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Robert Burridge,96512,1025,215,8,37,0,0,0,0,0,0,0,6,37,11,-5.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Bradley Williams,31644,1030,216,9,T38,0,0,0,0,0,0,0,10,30,14,-4.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Mason Ford,72844,1038,216,9,T38,0,0,0,0,0,0,0,7,35,12,-5.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Sylus Williams,131330,1015,217,10,40,0,0,0,0,0,0,0,8,29,17,-9.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Braeden Sides,129963,1026,218,11,T41,0,0,0,0,0,0,0,9,29,16,-7.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Chris Clemons,50401,1017,218,11,T41,0,0,0,0,0,0,0,6,34,14,-8.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Evan Scott,89394,1027,218,11,T41,0,0,0,0,0,0,0,6,34,14,-8.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Ezra Aderhold,121715,1030,218,11,T41,0,0,0,0,0,0,0,11,27,16,-5.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Jake Monn,98722,1028,218,11,T41,0,0,0,0,0,0,0,10,28,16,-6.0,1.0,3,54
beo,96402,2026,MVP Big Easy Open presented by Flight Factory,MPO,Disc Golf Pro Tour,Jonathan Borzick,119794,1029,218,11,T41,0,0,0,0,0,0,0,6,34,14,-8.0,1.0,3,54
