site_event_id,event_id,Year,event_name,division,Tier,Player,PDGA,player_rating,tournament_total_strokes,Total,Place,Wins,Top 3s,Top 10s,Top 20s,Aces,Albatrosses,Eagles,Birdies,Pars,Bogeys+,TotalPoints,MajorMultiplierUsed,Rounds,HolesCounted
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Garrett Gurthie,13864,1018,59,-3,T25,0,0,0,0,0,0,0,6,10,2,4.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Harry Chace,131546,1023,59,-3,T25,0,0,0,0,0,0,0,8,7,3,5.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Ian Krajna,48125,1009,59,-3,T25,0,0,0,0,0,0,0,8,5,5,3.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Joel Freeman,69509,1035,59,-3,T25,0,0,0,0,0,0,0,7,8,3,4.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Jonathan Borzick,119794,1029,59,-3,T25,0,0,0,0,0,0,0,5,12,1,4.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Joseph Anderson,122356,1032,59,-3,T25,0,0,0,0,0,0,0,5,11,2,3.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Kyle Krieckhaus,154511,1011,59,-3,T25,0,0,0,0,0,0,1,4,10,3,6.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Matthew Alexander,138103,1009,59,-3,T25,0,0,0,0,0,0,0,6,9,3,3.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Niklas Anttila,91249,1045,59,-3,T25,0,0,0,0,0,0,0,6,9,3,3.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Parker Welck,39491,1030,59,-3,T25,0,0,0,0,0,0,0,6,9,3,3.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Väinö Mäkelä,59635,1031,59,-3,T25,0,0,0,0,0,0,0,4,13,1,3.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Clay Edwards,91397,1020,61,-2,T43,0,0,0,0,0,0,0,5,13,3,2.0,1.0,2,21
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Jake Hebenheimer,43762,1020,60,-2,T43,0,0,0,0,0,0,0,7,8,3,4.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Jesse Nieminen,58923,1025,60,-2,T43,0,0,0,0,0,0,0,6,9,4,2.0,1.0,2,19
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Luke Samson,59419,1013,62,-2,T43,0,0,0,0,0,0,0,8,10,5,3.0,1.0,2,23
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Luke Taylor,102119,1035,61,-2,T43,0,0,0,0,0,0,0,7,11,4,3.0,1.0,2,22
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Paul Ulibarri,27171,1030,60,-2,T43,0,0,0,0,0,0,0,6,8,4,2.0,1.0,2,18
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Ty Love,89959,1024,61,-2,T43,0,0,0,0,0,0,0,7,11,3,4.0,1.0,2,21
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Zach Arlinghaus,65266,1021,62,-2,T43,0,0,0,0,0,0,0,7,11,5,2.0,1.0,2,23
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Cale Leiviska,24341,1036,61,-1,T51,0,0,0,0,0,0,0,4,14,2,2.0,1.0,2,20
qcc,96403,2026,Queen City Classic presented by Another Round,MPO,Disc Golf Pro Tour,Cole Redalen,79748,1037,61,-1,T51,0,0,0,0,0,0,0,7,10,4,3.0,1.0,2,21
